1,166,77,77,255,1
2,166,0,0,255,2
3,204,128,77,255,3
11,255,0,0,255,11
21,128,0,255,255,21
22,128,77,255,255,22
23,77,77,255,255,23
31,51,255,255,255,31
32,0,255,0,255,32
41,255,255,102,255,41
42,0,0,0,255,42
43,255,230,204,255,43
44,194,156,214,255,44
51,255,255,0,255,51
52,255,166,0,255,52
53,255,255,255,255,53
54,255,204,77,255,54
61,128,166,77,255,61
62,0,204,255,255,62
71,128,255,77,255,71
72,166,255,140,255,72
73,204,255,166,255,73
74,255,77,166,255,74
75,230,204,166,255,75
81,128,128,166,255,81
83,128,77,128,255,83
91,191,255,255,255,91
92,153,242,255,255,92
